ER30001,ER30002,CP_FLAG,CDS97KID,CDS02KID,CDS07KID,TA05KID,TA05_RESP,TA05_PSID,TA07KID,TA07_RESP,TA07_PSID,TA09KID,TA09_RESP,TA09_PSID,TA11KID,TA11_RESP,TA11_PSID,PCGID_97,PCGPN_97,PCG97_REL,OCGID_97,OCGPN_97,OCG97_REL,PCGID_02,PCGPN_02,PCG02_REL,OCGID_02,OCGPN_02,OCG02_REL,PCGID_07,PCGPN_07,PCG07_REL,OCGID_07,OCGPN_07,OCG07_REL
6357,35,1,1,1,,,,,,,,,,,1,3,7393,6357,31,1,,,,6357,31,1,6357,183,,,,,,,
6358,37,1,1,1,,,,,1,1,7535,,,,1,1,8882,6358,3,1,,,,6358,3,1,,,,,,,,,
6358,38,1,1,1,,1,3,5663,1,2,7161,1,2,2080,1,2,4199,6358,6,1,6358,171,2,6358,6,1,6358,171,2,,,,,,
6358,41,1,1,,1,,,,,,,1,3,7230,1,3,8898,6358,32,1,6358,176,,,,,,,,6358,32,1,,,
6358,43,1,1,1,1,,,,,,,,,,,,,6358,170,1,6358,4,2,6358,170,1,6358,4,2,6358,170,1,6358,4,2
6361,30,1,1,1,1,,,,,,,1,3,4706,1,3,5857,6361,6,1,6361,172,2,6361,6,1,6361,172,2,6361,6,1,,,
6361,33,1,1,1,1,,,,,,,,,,1,3,3991,6361,3,1,6361,173,2,6361,3,1,6361,173,2,6361,3,1,6361,173,2
6361,34,1,1,1,1,,,,,,,,,,,,,6361,3,1,6361,173,2,6361,3,1,6361,173,2,6361,3,1,6361,173,2
6365,46,1,1,1,,1,3,4977,1,3,5226,1,1,6901,1,1,6847,6365,9,1,,,,6365,9,1,,,,,,,,,
6365,48,1,1,,,,,,,,,,,,,,,6365,30,1,,,,,,,,,,,,,,,
6365,49,1,1,1,,,,,1,3,3378,1,1,7443,,,,6365,11,1,6365,177,2,6365,11,1,6365,177,2,,,,,,
6365,50,1,1,1,,,,,1,3,3378,1,3,6895,1,2,8443,6365,11,1,6365,177,2,6365,11,1,6365,177,2,,,,,,
6365,51,1,1,1,1,,,,,,,1,3,5589,1,3,5069,6365,10,1,6365,2,3,6365,10,1,,,,6365,10,1,,,
6365,52,1,1,,,,,,,,,,,,,,,6365,30,1,,,,,,,,,,,,,,,
6365,53,1,1,1,1,,,,,,,,,,,,,6365,10,1,6365,2,3,6365,10,1,,,,6365,10,1,,,
6366,31,1,1,1,1,,,,,,,,,,1,3,3629,6366,2,3,,,,6366,2,3,6366,4,1,6366,4,1,,,
6366,32,1,1,1,1,,,,,,,,,,1,3,3629,6366,2,3,,,,6366,2,3,6366,4,1,6366,4,1,,,
6367,36,1,1,,,,,,,,,1,3,8324,1,1,330,6367,31,1,,,,,,,,,,,,,,,
6368,33,1,1,1,,1,3,5163,1,1,8308,1,1,7528,1,1,2880,6368,178,1,,,,6368,178,1,,,,,,,,,
6368,34,1,1,1,,,,,1,3,1558,1,3,4292,1,3,42,6368,2,3,6368,1,4,6368,4,,6368,1,4,,,,,,
6368,35,1,1,1,,,,,1,3,3970,1,3,4735,1,3,352,6368,5,1,6368,171,2,6368,5,1,,,,,,,,,
6368,180,1,1,1,,,,,1,1,8280,1,1,4083,1,1,1455,6368,178,1,,,,6368,178,1,,,,,,,,,
6370,36,1,1,1,,1,3,2378,,,,1,1,6599,1,1,8392,6370,181,1,6370,187,,6370,181,1,,,,,,,,,
6370,37,1,1,1,1,,,,,,,,,,1,1,7774,6370,33,1,,,,6370,33,1,,,,6370,33,1,,,
6370,38,1,1,1,1,,,,,,,1,3,1427,1,3,1329,6370,31,1,,,,6370,31,1,6370,5,3,6370,31,1,,,
6370,39,1,1,1,1,,,,,,,,,,1,1,7558,6370,33,1,,,,6370,33,1,,,,6370,33,1,,,
6370,40,1,1,1,1,,,,,,,,,,1,3,6181,6370,32,1,6370,186,2,6370,32,1,6370,186,2,6370,186,2,6370,32,1
6370,41,1,1,1,1,,,,,,,,,,1,3,2817,6370,172,1,6370,9,3,6370,172,1,,,,6370,172,1,,,
6370,42,1,1,1,1,,,,,,,,,,,,,6370,31,1,,,,6370,31,1,6370,5,3,6370,31,1,,,
6375,33,1,1,1,,,,,,,,,,,1,3,6841,6375,30,1,6375,171,,6375,30,1,6375,172,,,,,,,
6375,34,1,1,1,,,,,,,,,,,,,,6375,30,1,6375,171,2,6375,30,1,6375,172,,,,,,,
6376,34,1,1,1,,,,,1,3,4862,1,3,8295,,,,6376,172,1,6376,4,2,6376,172,1,6376,4,2,,,,,,
6376,175,1,1,,,1,3,7123,1,3,6429,1,3,1920,1,3,7441,6376,3,,6376,170,,,,,,,,,,,,,
6377,35,1,1,1,,1,3,5641,1,3,5378,1,3,5261,,,,6377,170,1,6377,2,2,6377,170,1,6377,2,2,,,,,,
6377,36,1,1,1,,1,3,5482,1,3,5250,1,1,5205,1,1,8881,6377,5,1,,,,6377,5,1,6377,173,,,,,,,
6377,37,1,1,1,,,,,,,,,,,1,3,8320,6377,5,1,,,,6377,5,1,6377,173,,,,,,,
6381,38,1,1,1,,1,3,6661,1,1,6344,1,1,3203,,,,6381,176,1,6381,4,2,6381,176,1,,,,,,,,,
6381,40,1,1,1,,,,,1,3,3477,1,2,3295,1,2,5279,6381,184,1,6381,8,2,6381,184,1,,,,,,,,,
6381,178,1,1,1,,1,1,7028,1,1,5761,1,1,3243,1,1,5539,6381,176,1,6381,4,2,6381,176,1,,,,,,,,,
6396,30,1,1,1,1,,,,,,,1,3,3327,1,3,7374,6396,3,1,6396,176,2,6396,3,1,,,,6396,3,1,6396,2,3
6396,31,1,1,1,1,,,,,,,,,,,,,6396,3,1,6396,176,2,6396,3,1,,,,6396,3,1,6396,2,3
6398,31,1,1,1,,1,3,7109,1,3,4791,1,1,6441,,,,6398,2,1,6398,173,2,6398,2,1,6398,173,2,,,,,,
6406,35,1,1,,,,,,,,,,,,,,,6406,31,1,6406,2,3,,,,,,,,,,,,
6406,37,1,1,,,,,,,,,,,,,,,6406,31,1,6406,2,3,,,,,,,,,,,,
6411,33,1,1,1,,1,3,6158,1,3,3315,1,3,5739,1,3,6064,6411,170,1,,,,6411,170,1,,,,,,,,,
6411,34,1,1,,1,,,,,,,1,3,2697,,,,6411,3,1,6411,183,2,,,,,,,6411,3,1,6411,183,2
6412,32,1,1,,,,,,,,,,,,,,,6412,170,,,,,,,,,,,,,,,,
6412,33,1,1,,,,,,,,,,,,,,,6412,172,1,,,,,,,,,,,,,,,
6413,36,1,1,1,,1,3,4524,1,3,922,1,3,3181,1,3,4626,6413,9,1,6413,2,3,6413,9,1,6413,2,3,,,,,,
6413,37,1,1,1,,1,3,4524,1,3,922,1,3,3181,,,,6413,9,1,6413,2,3,6413,9,1,6413,2,3,,,,,,
6413,38,1,1,1,,,,,1,3,1315,1,3,4832,1,3,4609,6413,10,1,6413,190,2,6413,10,1,6413,190,2,,,,,,
6413,39,1,1,1,,1,3,4798,1,3,1242,,,,,,,6413,35,1,,,,6413,35,1,,,,,,,,,
6413,40,1,1,1,1,,,,,,,,,,1,3,4609,6413,10,1,6413,190,2,6413,10,1,6413,190,2,6413,10,1,6413,190,2
6413,42,1,1,1,1,,,,,,,,,,,,,6413,35,1,,,,6413,35,1,,,,6413,35,1,,,
6414,173,1,1,1,1,,,,,,,,,,,,,6414,1,5,,,,6414,1,5,,,,6414,1,5,6414,176,
6418,36,1,1,1,,1,3,266,1,3,4246,1,3,2598,1,3,1091,6418,3,1,6418,173,2,6418,3,1,,,,,,,,,
6418,176,1,1,1,1,,,,,,,,,,,,,6418,3,,6418,173,,6418,3,,,,,6418,3,,6418,178,
6434,30,1,1,1,1,,,,,,,,,,1,3,7588,6434,170,1,6434,3,2,6434,170,1,,,,6434,170,1,,,
6434,172,1,1,,,1,1,7883,1,1,6769,1,1,8444,1,1,5022,6434,170,1,6434,3,2,,,,,,,,,,,,
